STATION,NAME,DATE,AWND,FMTM,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WESD,WSF2,WSF5,WT01,WT02,WT03,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT16,WT18,WT21,WT22,WV03,EXTRM
USW00013889,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",01-01-2000,2.91,1602,1602,0,0,0,65,76,53,140,140,0,13,14.1,,,,,,,,,,,,,,,,,,
USW00013889,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",02-01-2000,3.8,1631,1258,0,0,0,64,77,50,130,180,0,12.1,15,1,1,,,,,,,,,1,,,,,,,
USW00013889,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",03-01-2000,4.47,1402,1453,0,0,0,64,79,49,200,180,0,14.1,17,1,1,,,,,,,,,1,,,,,,,
USW00013889,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",04-01-2000,11.63,1616,1722,0.18,0,0,69,82,56,240,230,0,23.9,30,1,,,,,,,,,,1,,1,,,,,
USW00013889,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",05-01-2000,8.5,34,33,0,0,0,51,60,41,310,310,0,21,23.9,,,,,,,,,,,,,,,,,,
USW00013889,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",06-01-2000,6.26,1645,1635,0,0,0,55,70,40,80,80,0,13,15,1,,,,,,,,,,1,,,,,,,
USW00013889,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",07-01-2000,3.58,848,847,0.3,0,0,56,64,48,340,330,0,13,16.1,1,1,,,,,,,,,1,,1,,,,,
USW00013889,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",08-01-2000,3.13,1640,1159,0,0,0,58,71,45,40,70,0,12.1,14.1,1,1,,,,,,,,,1,,,,,,,
USW00013889,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",09-01-2000,5.14,1538,1537,0,0,0,65,80,50,230,220,0,16.1,19.9,1,1,,,,,,,,,1,,,,,,,
USW00013889,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",10-01-2000,8.28,1053,1109,0.03,0,0,64,73,54,220,220,0,21,25.1,1,,,,,,,,,,1,,1,,,,,
USW00013889,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",11-01-2000,5.37,1304,1446,0,0,0,62,74,49,260,260,0,15,17,1,1,,,,,,,,,1,,,,,,,
USW00013889,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",12-01-2000,1.79,2317,2316,0,0,0,59,76,41,280,280,0,12.1,14.1,1,1,,,,,,,,,1,,,,,,,
USW00013889,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",13-01-2000,7.38,1520,1945,0,0,0,61,79,43,270,310,0,17.9,23.9,1,,,,,,,,,,1,,,,,,,
USW00013889,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",14-01-2000,12.3,957,954,0,0,0,50,61,38,30,30,0,23,30,,,,,,,,,,,,,,,,,,
USW00013889,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",15-01-2000,4.7,1112,1314,0,0,0,44,58,30,80,100,0,16.1,23,,,,,,,,,,,,,,,,,,
USW00013889,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",16-01-2000,4.7,1257,1326,0,0,0,51,69,33,270,280,0,15,17.9,,,,,,,,,,,,,,,,,,
USW00013889,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",17-01-2000,5.14,1455,1454,0,0,0,54,62,46,70,70,0,17,19.9,,,,,,,,,,,,,,,,,,
USW00013889,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",18-01-2000,8.72,1150,1333,0.01,0,0,61,74,47,270,270,0,23.9,30,,,,,,,,,,,,,1,,,,,
USW00013889,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",19-01-2000,5.59,330,316,0,0,0,56,62,50,20,10,0,13,15,,,,,,,,,,,,,1,,,,,
USW00013889,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",20-01-2000,15.43,948,1042,0,0,0,58,71,44,280,300,0,28,36,,,,,,,,,,,,,1,,,,,
USW00013889,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",21-01-2000,6.26,923,126,0,0,0,42,53,30,350,330,0,15,19.9,,,,,,,,,,,,,,,,,,
USW00013889,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",22-01-2000,2.91,1124,1122,0,0,0,44,60,27,150,170,0,12.1,15,,,,,,,,,,,,,,,,,,
USW00013889,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",23-01-2000,8.05,1551,1550,1.2,0,0,60,76,43,280,260,0,23.9,31.1,1,,1,,,,,,,,1,,1,,,,,
USW00013889,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",24-01-2000,12.3,1559,1530,0.35,0,0,49,60,38,310,300,0,25.1,32,1,,,,,,,,,,1,,1,,,,,
USW00013889,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",25-01-2000,12.75,128,149,0,0,0,42,51,32,300,310,0,21.9,25.9,,,,,,,,,,,,,,,,,,
USW00013889,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",26-01-2000,10.07,1033,1033,0,0,0,35,44,26,300,310,0,21,25.1,,,,,,,,,,,,,,,,,,
USW00013889,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",27-01-2000,5.14,1734,1604,0,0,0,36,47,24,60,90,0,12.1,15,,,,,,,,,,,,,,,,,,
USW00013889,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",28-01-2000,10.07,1123,1456,0.18,0,0,41,51,30,70,40,0,19.9,23,1,,,,,,,,,,1,,1,,,,,
USW00013889,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",29-01-2000,5.82,541,150,0.12,0,0,54,59,49,350,20,0,14.1,17,1,1,,,,,,,,,1,,1,,,,,
USW00013889,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",30-01-2000,6.26,1547,1546,0.4,0,0,59,75,43,330,320,0,21,30,1,1,1,,,,,,,,1,,1,,,,,
USW00013889,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",31-01-2000,5.37,145,143,0,0,0,44,52,36,320,310,0,16.1,21,,,,,,,,,,,,,,,,,,
USW00013889,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",01-02-2000,4.7,1358,1455,0,0,0,44,57,31,290,340,0,13,16.1,,,,,,,,,,,,,,,,,,
USW00013889,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",02-02-2000,4.7,1654,1653,0,0,0,46,57,35,110,110,0,14.1,16.1,,,,,,,,,,,,,,,,,,
USW00013889,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",03-02-2000,2.91,1445,1445,0,0,0,49,66,32,260,260,0,17,21,1,,,,,,,,,,1,,,,,,,
USW00013889,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",04-02-2000,8.5,1427,1439,0,0,0,52,68,36,260,260,0,21,23.9,,,,,,,,,,,,,,,,,,
USW00013889,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",05-02-2000,4.92,852,852,0,0,0,41,53,29,350,350,0,14.1,17,,,,,,,,,,,,,,,,,,
USW00013889,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",06-02-2000,2.46,1758,1514,0,0,0,43,59,26,110,180,0,12.1,16.1,,,,,,,,,,,,,,,,,,
USW00013889,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",07-02-2000,3.13,1432,1252,0,0,0,49,66,31,290,230,0,14.1,21,,,,,,,,,,,,,,,,,,
USW00013889,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",08-02-2000,3.13,1657,1656,0,0,0,52,65,38,80,80,0,14.1,15,,,,,,,,,,,,,,,,,,
USW00013889,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",09-02-2000,6.71,1440,1319,0,0,0,55,66,43,10,10,0,15,21,,,,,,,1,,,,,,,,,,,
USW00013889,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",10-02-2000,5.82,1430,1346,0,0,0,53,71,34,250,270,0,15,17,1,,,,,,1,,,,1,,,,,,,
USW00013889,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",11-02-2000,8.72,1458,1457,0,0,0,60,76,43,250,240,0,23,25.9,1,,,,,,,,,,1,,,,,,,
USW00013889,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",12-02-2000,8.05,1612,1611,0,0,0,65,75,55,250,240,0,17.9,21.9,1,,,,,,,,,,1,,,,,,,
USW00013889,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",13-02-2000,5.14,1426,2358,0,0,0,63,76,50,120,170,0,14.1,15,1,,,,,,,,,,1,,,,,,,
USW00013889,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",14-02-2000,10.29,1338,1334,0.77,0,0,65,69,61,220,220,0,17,23,1,,1,,,,,,,,1,,1,,,,,
USW00013889,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",15-02-2000,6.93,1519,1415,0,0,0,55,65,45,80,100,0,14.1,17,,,,,,,,,,,,,,,,,,
USW00013889,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",16-02-2000,1.79,1659,1708,0,0,0,60,80,39,110,110,0,10.1,12.1,1,1,,,,,,,,,1,,,,,,,
USW00013889,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",17-02-2000,5.37,1651,1651,0,0,0,65,80,50,60,60,0,17.9,21.9,1,,,,,,,,,,1,,,,,,,
USW00013889,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",18-02-2000,3.36,1414,1413,0,0,0,66,80,52,190,200,0,19.9,23.9,1,1,,,,,,,,,1,,,,,,,
USW00013889,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",19-02-2000,10.07,1541,1510,0,0,0,70,81,59,240,250,0,19.9,25.1,1,,1,,,,,,,,1,,1,,,,,
USW00013889,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",20-02-2000,6.71,118,117,0,0,0,55,69,41,340,350,0,17,21,,,,,,,,,,,,,,,,,,
USW00013889,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",21-02-2000,4.92,1409,1428,0,0,0,49,62,35,80,70,0,17,21,,,,,,,,,,,,,,,,,,
USW00013889,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",22-02-2000,6.71,1533,1443,0,0,0,51,63,39,80,80,0,17.9,21.9,1,,,,,,,,,,1,,,,,,,
USW00013889,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",23-02-2000,6.26,1251,1251,0,0,0,57,71,42,90,90,0,17,19.9,,,,,,,,,,,,,,,,,,
USW00013889,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",24-02-2000,5.59,1638,1638,0,0,0,63,75,50,70,80,0,15,17.9,1,,,,,,,,,,1,,,,,,,
USW00013889,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",25-02-2000,6.26,1428,1418,0,0,0,62,75,48,80,110,0,16.1,19.9,,,,,,,,,,,,,,,,,,
